iter	Passed	Remaining
0	159	159501
1	161	80758
2	163	54382
3	165	41137
4	166	33218
5	168	27963
6	170	24174
7	172	21358
8	174	19219
9	175	17413
10	177	15948
11	178	14722
12	180	13692
13	182	12826
14	183	12053
15	184	11376
16	186	10803
17	189	10312
18	190	9849
19	192	9421
20	193	9034
21	195	8682
22	196	8361
23	198	8059
24	199	7784
25	201	7539
26	203	7320
27	204	7104
28	206	6899
29	207	6706
30	208	6528
31	210	6358
32	211	6202
33	213	6053
34	214	5911
35	216	5784
36	218	5677
37	219	5556
38	220	5439
39	222	5329
40	223	5228
41	224	5131
42	226	5036
43	227	4943
44	228	4857
45	230	4775
46	232	4708
47	233	4632
48	234	4560
49	236	4490
50	237	4421
51	238	4354
52	240	4289
53	241	4226
54	242	4167
55	243	4108
56	245	4056
57	247	4013
58	248	3962
59	249	3910
60	250	3862
61	252	3814
62	253	3768
63	254	3723
64	255	3678
65	256	3635
66	258	3593
67	259	3555
68	261	3528
69	262	3492
70	264	3460
71	265	3425
72	267	3390
73	268	3356
74	269	3322
75	270	3290
76	271	3258
77	273	3231
78	275	3208
79	277	3187
80	278	3160
81	279	3132
82	280	3098
83	281	3071
84	282	3046
85	284	3019
86	285	2994
87	286	2968
88	287	2944
89	288	2920
90	290	2899
91	291	2881
92	293	2859
93	294	2835
94	295	2812
95	296	2790
96	297	2769
97	298	2747
98	299	2726
99	300	2706
100	301	2685
101	302	2666
102	304	2648
103	306	2641
104	308	2626
105	309	2610
106	310	2593
107	311	2576
108	313	2559
109	314	2543
110	315	2527
111	316	2511
112	318	2496
113	319	2483
114	321	2476
115	323	2462
116	324	2445
117	325	2430
118	326	2417
119	327	2403
120	329	2391
121	330	2376
122	331	2363
123	332	2351
124	334	2338
125	336	2336
126	338	2326
127	340	2317
128	341	2307
129	343	2297
130	344	2285
131	345	2274
132	347	2263
133	348	2252
134	350	2247
135	352	2239
136	353	2228
137	354	2217
138	356	2206
139	357	2194
140	358	2183
141	359	2170
142	360	2158
143	361	2146
144	362	2135
145	363	2124
146	364	2115
147	365	2106
148	367	2099
149	368	2089
150	369	2078
151	370	2068
152	371	2059
153	373	2049
154	374	2040
155	375	2031
156	377	2027
157	379	2020
158	381	2016
159	382	2009
160	384	2002
161	385	1994
162	387	1987
163	388	1981
164	390	1974
165	391	1966
166	392	1958
167	393	1949
168	394	1941
169	396	1935
170	397	1927
171	398	1918
172	399	1908
173	400	1899
174	400	1890
175	401	1881
176	403	1874
177	404	1866
178	405	1858
179	405	1849
180	406	1840
181	407	1832
182	408	1824
183	409	1817
184	411	1811
185	412	1804
186	413	1797
187	414	1789
188	415	1781
189	415	1773
190	416	1765
191	417	1757
192	418	1749
193	419	1741
194	420	1733
195	420	1725
196	421	1717
197	422	1710
198	422	1702
199	423	1694
200	424	1687
201	426	1683
202	427	1677
203	428	1670
204	428	1662
205	429	1655
206	430	1648
207	431	1641
208	431	1634
209	432	1627
210	433	1620
211	434	1613
212	434	1606
213	435	1599
214	436	1593
215	437	1586
216	438	1580
217	438	1574
218	439	1568
219	441	1565
220	442	1559
221	443	1553
222	444	1547
223	444	1540
224	445	1534
225	446	1527
226	446	1521
